Aoc_bl,Boc_bl,Aoc_do,Afp_do,boc_do,bfp_do,Ao1_alpha,Ao2_alpha,Bo1_alpha,Bo2_alpha,Aoc_bl2,Boc_bl2
-0.097819263,0.204264971,-4.276303517,1.293720827,1.223166914,-1.937465397,-0.25806206,0.160242797,-0.022792592,0.227057563,-2.382995242,-2.95507722
-0.63295088,-0.100187067,0.16548287,-0.957990524,0.359134988,-1.770449761,-0.264104176,-0.368846704,-0.032103193,-0.068083874,-1.580855767,-5.173266785
-0.125247168,-0.251074205,1.064508977,-0.531368456,0.347689734,-0.114800821,0.004039783,-0.129286952,-0.081889141,-0.169185064,-4.090465949,-3.343039312
0.103619092,0.024527755,-1.394688719,-0.526371851,2.019350103,1.002345718,0.124067735,-0.020448643,-0.012501185,0.03702894,-4.14705255,-6.48417394
0.21003375,-0.2631768,0.024040507,10.32633865,0.029953365,-1.089779865,0.102492216,0.107541534,-0.127646884,-0.135529915,-3.813543491,-3.362108841
0.30402317,-0.192176591,0.123426834,1.016355418,-0.173184812,0.216009583,0.133249276,0.170773893,-0.112729329,-0.079447262,-3.059330601,-3.962276365
-0.452919739,-0.086272471,-0.7645532,4.053738748,0.680144899,2.953822581,-0.399600487,-0.053319252,-0.013797345,-0.072475126,-1.816932722,-5.213422958
-0.758639183,0.00448512,-0.456223818,-1.027833982,32.73951724,0.307514696,-0.552374224,-0.206264959,-0.07117777,0.07566289,-1.056523051,-4.529029133
-0.709360057,0.236499804,-0.036835369,0.014128533,-0.698047452,0.815211105,-0.367744798,-0.341615259,0.200793945,0.035705859,-1.378575342,-3.179820591
-0.070716671,-0.098683925,2.107357922,28.79488191,0.640425959,0.951456807,0.039154333,-0.109871004,-0.017742089,-0.080941836,-4.297340013,-4.981120791
0.539393617,-0.183920865,0.061624844,5.724870104,-0.58580504,5.318468513,0.253076785,0.286316832,-0.145831317,-0.038089548,-1.923976156,-3.784615912
0.383889346,-0.231993629,-0.190993993,0.17056844,0.223766921,7.961234417,0.228604953,0.155284394,-0.090040564,-0.141953064,-2.572119931,-3.566379534
0.129497455,-0.142763916,-0.373746801,0.759103381,0.18413208,-1.151888484,0.088948357,0.040549098,-0.058238249,-0.084525666,-4.650581907,-4.552930553
-0.02987424,-0.255128055,4.026975985,2.708149527,0.456278919,-1.186753494,0.045214304,-0.075088544,-0.069359251,-0.185768804,-4.868794284,-3.236002805
-0.224574085,-0.319307059,-0.743903261,1.347724756,0.381787354,-5.726307138,-0.195817739,-0.028756345,-0.098699831,-0.220607228,-3.239805469,-2.840281769
-0.657018856,0.000992554,0.411096033,0.814136998,-18.28687547,-0.261278839,-0.193460505,-0.46355835,0.009571633,-0.008579079,-1.377083665,-8.708252211
-0.6334467,0.205168476,0.121051779,-2.121254555,-0.957003519,0.779759319,-0.278383425,-0.355063275,0.200757714,0.004410761,-1.591758811,-3.210830408
-0.259142321,0.039017029,-0.226450853,-3.363349039,-4.413421375,0.468071089,-0.158912661,-0.100229661,0.10560781,-0.066590781,-3.343894451,-4.161296133
0.088219346,-0.176072087,0.729569512,-6.52233168,-0.495853537,4.117124936,0.0119286,0.076290746,-0.131689027,-0.04438306,-5.122253782,-3.947036079
0.636341871,0.04055726,0.357577312,-1.259451705,4.950411269,1.319689088,0.204400227,0.431941643,-0.080108928,0.120666188,-1.476862443,-3.864292011
0.285540086,-0.329176571,-0.825564393,0.538019533,-0.40077807,-0.664099641,0.260635907,0.024904179,-0.230551661,-0.09862491,-2.680172997,-2.766512161
0.399893095,-0.205615167,-0.115962026,1.443543785,0.342427884,2.60460152,0.223132754,0.176760341,-0.0676034,-0.138011767,-2.512905661,-3.745768689
0.279487129,-0.487748758,-0.844400823,0.137903126,-0.239805672,-0.139322188,0.257743145,0.021743984,-0.302356838,-0.18539192,-2.704491593,-2.073142847
0.660095429,0.038246385,-0.058051669,-0.168398563,3.72132006,0.295546566,0.349207535,0.310887894,-0.052040327,0.090286713,-1.520524581,-4.522679448
0.656540609,0.367706245,0.277825632,-0.028580536,-0.331578379,1.91963242,0.2370684,0.419472209,0.244814843,0.122891402,-1.460335553,-2.58977923
0.289214837,0.227566748,-0.262988937,-0.448504112,0.083916452,-2.370446748,0.18263757,0.106577267,0.104235077,0.123331671,-3.107441883,-3.646753257
0.321827224,0.18010988,0.34466758,-0.239958646,-0.474670199,0.36392883,0.105451907,0.216375318,0.132801336,0.047308544,-2.8483752,-3.918328185
-0.369590363,0.040338813,-0.257014399,-1.235858139,-1.688648521,-2.002694405,-0.232290204,-0.137300159,0.054228445,-0.013889632,-2.619900973,-5.76555805
-0.777569682,0.019192999,0.08643178,-0.007967263,2.055429347,1.921923928,-0.355181475,-0.422388207,-0.010128427,0.029321427,-1.188868526,-6.946151984
-0.910081863,-0.058127058,0.515223166,-0.131662653,4.63584677,5.008454018,-0.220593302,-0.68948856,0.105670538,-0.163797596,-0.646156959,-3.270276618
